time	V(n002)
6.724080015275423e-01	-1.093006e+01
6.753376890275423e-01	-1.093004e+01
6.782673765275423e-01	-1.093003e+01
6.811970640275423e-01	-1.093001e+01
6.841267515275423e-01	-1.092999e+01
6.870564390275423e-01	-1.092998e+01
6.898466175989709e-01	-1.092996e+01
6.926367961703994e-01	-1.092995e+01
6.954269747418280e-01	-1.092993e+01
6.982171533132566e-01	-1.092992e+01
7.010073318846852e-01	-1.092991e+01
7.037975104561137e-01	-1.092989e+01
7.065876890275423e-01	-1.092988e+01
7.097963943846852e-01	-1.092986e+01
7.130050997418280e-01	-1.092985e+01
7.162138050989709e-01	-1.092983e+01
7.194225104561137e-01	-1.092982e+01
7.226312158132566e-01	-1.092980e+01
7.258399211703994e-01	-1.092979e+01
7.290486265275423e-01	-1.092978e+01
7.339314390275423e-01	-1.092975e+01
7.388142515275423e-01	-1.092973e+01
7.436970640275423e-01	-1.092971e+01
7.485798765275423e-01	-1.092969e+01
7.534626890275423e-01	-1.092967e+01
7.583455015275423e-01	-1.092965e+01
7.632283140275423e-01	-1.092963e+01
7.711803229561137e-01	-1.092960e+01
7.791323318846852e-01	-1.092957e+01
7.870843408132566e-01	-1.092954e+01
7.950363497418280e-01	-1.092951e+01
8.029883586703995e-01	-1.092948e+01
8.109403675989709e-01	-1.092945e+01
8.188923765275423e-01	-1.092943e+01
8.303321086703994e-01	-1.092939e+01
8.417718408132566e-01	-1.092935e+01
8.532115729561137e-01	-1.092931e+01
8.646513050989709e-01	-1.092927e+01
8.760910372418280e-01	-1.092923e+01
8.875307693846852e-01	-1.092920e+01
8.989705015275423e-01	-1.092916e+01
9.072015283132566e-01	-1.092914e+01
9.154325550989709e-01	-1.092911e+01
9.236635818846852e-01	-1.092908e+01
9.318946086703994e-01	-1.092906e+01
9.401256354561137e-01	-1.092903e+01
9.483566622418280e-01	-1.092901e+01
9.565876890275423e-01	-1.092898e+01
9.575642515275423e-01	-1.092898e+01
9.996495213855925e-01	-1.092885e+01
1.000000000000000e+00	-1.092885e+01
